,adj_word,adj_word_len,adj_word_count,adj_lemma,mod_adj,mod_adj_len,mod_adj_count,n_word,n_word_len,n_word_count,n_lemma,n_lemma_count,adj_id,n_id,sen_len,sen_id
0,federal,7,21,federal,,0,,courts,6,1.0,court,3.0,13,14,19,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
1,associate,9,2,associate,,0,,judge,5,4.0,judge,14.0,13,14,29,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
2,associate,9,2,associate,,0,,judge,5,4.0,judge,14.0,15,16,30,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
3,spiritual,9,9,spiritual,,0,,leader,6,21.0,leader,48.0,22,23,31,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
4,Nervous,7,1,nervous,,0,,people,6,110.0,people,115.0,1,2,18,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
5,succesfull,10,1,succesfull,arab,4,1.0,attacks,7,13.0,attack,19.0,15,17,18,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
6,arab,4,1,arab,succesfull,10,1.0,attacks,7,13.0,attack,19.0,16,17,18,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
7,eastern,7,5,eastern,,0,,city,4,13.0,city,27.0,3,4,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
8,several,7,60,several,,0,,people,6,110.0,people,115.0,19,20,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
9,hostile,7,4,hostile,,0,,fire,4,2.0,fire,2.0,8,9,24,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
10,Sunni,5,28,sunni,,0,,heartland,9,2.0,heartland,2.0,14,15,24,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
11,safe,4,24,safe,,0,,,0,,,,23,,24,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
12,yound,5,1,yound,newlywed,8,1.0,bride,5,2.0,bride,3.0,17,19,20,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
13,newlywed,8,1,newlywed,yound,5,1.0,bride,5,2.0,bride,3.0,18,19,20,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
14,enormous,8,6,enormous,,0,,amount,6,17.0,amount,29.0,10,11,29,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
15,bad,3,75,bad,bad,3,15.0,tradeoff,8,2.0,tradeoff,2.0,24,27,29,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
16,bad,3,75,bad,bad,3,15.0,tradeoff,8,2.0,tradeoff,2.0,26,27,29,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
17,hostile,7,4,hostile,,0,,crowd,5,2.0,crowd,4.0,7,8,12,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0005
18,clear,5,28,clear,,0,,,0,,,,3,,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
