,adj_word,adj_lemma,adj_id,adj_comb,num_adj,n_word,n_lemma,n_id,sen_len,sen_id
0,American,american,5,American,1,forces,force,6,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
1,Syrian,syrian,27,Syrian,1,border,border,28,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
2,respected,respected,6,respected,1,cleric,cleric,7,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002
3,Iraqi,iraqi,3,Iraqi,1,authorities,authority,4,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003
4,terrorist,terrorist,12,terrorist,1,cells,cell,13,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003
5,equivalent,equivalent,6,equivalent,1,,,,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
6,high,high,25,high,1,level,level,26,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
7,third,third,2,third,1,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006
8,Iraqi,iraqi,31,Iraqi,1,government,government,32,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
9,hopeful,hopeful,34,hopeful,1,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
10,other,other,16,other,1,side,side,17,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0010
11,big,big,22,big,1,jump,jump,23,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
12,cosmetic,cosmetic,7,cosmetic,1,surgeon,surgeon,8,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013
13,southeastern,southeastern,5,southeastern,1,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
14,Shiite,shiite,11,Shiite,1,population,population,12,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
15,main,main,5,main,1,difference,difference,6,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
16,assistant,assistant,7,assistant,1,dean,dean,8,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0017
17,other,other,2,other,1,leaders,leader,4,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
18,past,past,10,past,1,week,week,11,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
19,dead,dead,10,dead,1,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
20,Iraqi,iraqi,14,Iraqi,1,soldiers,soldier,15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
21,Iraqi,iraqi,37,Iraqi,1,uniforms,uniform,39,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
22,Sunni,sunni,6,"Sunni, Arab",2,clan,clan,8,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
23,Arab,arab,7,"Sunni, Arab",2,clan,clan,8,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
24,Sunni,sunni,12,Sunni,1,observers,observer,13,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
25,Shiite,shiite,16,Shiite,1,elements,element,17,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
26,Sunni,sunni,34,"Sunni, Arab",2,guerrillas,guerrilla,36,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
27,Arab,arab,35,"Sunni, Arab",2,guerrillas,guerrilla,36,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
28,Iraqi,iraqi,6,Iraqi,1,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
29,involved,involved,39,involved,1,grounds,grounds,34,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
30,civil,civil,49,civil,1,office,office,50,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
31,legal,legal,7,legal,1,grounds,grounds,8,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0027
32,small,small,5,small,1,one,one,6,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0028
33,significant,significant,8,significant,1,,,,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0029
34,many,many,21,"many, Sunni",2,,,,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030
35,Sunni,sunni,22,"many, Sunni",2,,,,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030
36,dominant,dominant,7,"dominant, Shiite",2,list,list,9,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
37,Shiite,shiite,8,"dominant, Shiite",2,list,list,9,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
38,many,many,20,many,1,seats,seat,21,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
39,new,new,24,new,1,parliament,parliament,25,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
40,junior,junior,3,junior,1,officers,officer,4,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
41,old,old,7,old,1,army,army,9,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
42,recent,recent,16,recent,1,months,month,17,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
43,mere,mere,11,"mere, past",2,membership,membership,15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0034
44,past,past,12,"mere, past",2,membership,membership,15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0034
45,better,better,10,better,1,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0035
46,same,same,14,same,1,rights,rights,15,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0037
47,other,other,17,other,1,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0037
48,key,key,10,key,1,eyewitness,eyewitness,11,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0038
49,several,several,8,several,1,areas,area,9,17,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0001
50,stuck,stuck,20,stuck,1,,,,21,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0002
51,American,american,7,American,1,troops,troops,8,22,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004
52,visible,visible,4,visible,1,,,,15,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0005
53,bolder,bolder,12,bolder,1,,,,15,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0005
54,open,open,24,open,1,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
55,same,same,10,same,1,positions,position,11,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
56,last,last,17,last,1,year,year,18,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
57,same,same,25,same,1,people,people,26,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
58,trained,trained,14,trained,1,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
59,armed,armed,16,armed,1,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
