,adj_word,adj_word_len,adj_word_count,adj_lemma,adj_comb,num_adj,n_word,n_word_len,n_word_count,n_lemma,n_lemma_count,adj_id,n_id,sen_len,sen_id
0.0,federal,7,21,federal,federal,1,courts,6,1.0,court,3.0,13,14,19,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
1.0,associate,9,2,associate,associate,1,judge,5,4.0,judge,14.0,13,14,29,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
2.0,associate,9,2,associate,associate,1,judge,5,4.0,judge,14.0,15,16,30,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
3.0,spiritual,9,9,spiritual,spiritual,1,leader,6,21.0,leader,48.0,22,23,31,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
4.0,Nervous,7,1,nervous,Nervous,1,people,6,110.0,people,115.0,1,2,18,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
5.0,succesfull,10,1,succesfull,"succesfull, arab",2,attacks,7,13.0,attack,19.0,15,17,18,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
6.0,arab,4,1,arab,"succesfull, arab",2,attacks,7,13.0,attack,19.0,16,17,18,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
7.0,eastern,7,5,eastern,eastern,1,city,4,13.0,city,27.0,3,4,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
8.0,several,7,60,several,several,1,people,6,110.0,people,115.0,19,20,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
9.0,hostile,7,4,hostile,hostile,1,fire,4,2.0,fire,2.0,8,9,24,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
10.0,Sunni,5,28,sunni,Sunni,1,heartland,9,2.0,heartland,2.0,14,15,24,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
11.0,safe,4,24,safe,safe,1,,0,,,,23,,24,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
12.0,yound,5,1,yound,"yound, newlywed",2,bride,5,2.0,bride,3.0,17,19,20,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
13.0,newlywed,8,1,newlywed,"yound, newlywed",2,bride,5,2.0,bride,3.0,18,19,20,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
14.0,enormous,8,6,enormous,enormous,1,amount,6,17.0,amount,29.0,10,11,29,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
