,n_word,n_firstSound,n_word_count,n_lemma,n_lemma_count,det,det_count,num,num_count,n_id,sen_id
0.0,story,Consonant,26,story,40,this,886.0,,,6,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0001
1.0,individuals,Vowel,8,individual,15,,,two,195.0,7,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
2.0,jurists,Consonant,1,jurist,1,,,,,11,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
3.0,courts,Consonant,2,court,13,,,,,14,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
4.0,area,Consonant,91,area,119,the,9347.0,,,18,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0002
5.0,year,Consonant,208,year,395,,,15,15.0,10,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
6.0,term,Consonant,34,term,46,a,4555.0,,,11,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
7.0,judge,Consonant,16,judge,22,,,,,14,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0003
8.0,year,Consonant,208,year,395,,,15,15.0,12,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
9.0,term,Consonant,34,term,46,a,4555.0,,,13,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
10.0,judge,Consonant,16,judge,22,,,,,16,weblog-blogspot.com_nominations_20041117172713_ENG_20041117_172713-0005
11.0,sheikh,Consonant,2,sheikh,4,the,9347.0,,,2,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
12.0,wheel,Consonant,14,wheel,19,,,,,4,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
13.0,chair,Consonant,16,chair,19,,,,,6,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
14.0,f,Consonant,6,f,6,,,16,16.0,12,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
15.0,bomb,Consonant,6,bomb,17,a,4555.0,,,17,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0001
16.0,years,Consonant,186,year,395,,,,,5,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
17.0,reasons,Consonant,22,reason,70,the,9347.0,,,13,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
18.0,leader,Consonant,31,leader,72,the,9347.0,,,23,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0002
19.0,today,Consonant,103,today,104,,,,,1,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
20.0,incident,Vowel,8,incident,9,,,,,3,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
21.0,patience,Consonant,10,patience,10,,,,,10,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
22.0,hope,Consonant,10,hope,13,,,,,13,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
23.0,peace,Consonant,51,peace,51,,,,,15,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0003
24.0,people,Consonant,316,people,327,,,,,2,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
25.0,mistakes,Consonant,2,mistake,11,,,,,4,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
26.0,wave,Consonant,7,wave,7,a,4555.0,,,13,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
27.0,attacks,Consonant,26,attack,58,,,,,17,weblog-blogspot.com_gettingpolitical_20030906235000_ENG_20030906_235000-0004
28.0,city,Consonant,42,city,62,the,9347.0,,,4,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
29.0,guerrillas,Consonant,11,guerrilla,13,,,,,8,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
30.0,car,Consonant,113,car,123,,,,,11,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
31.0,bomb,Consonant,6,bomb,17,a,4555.0,,,12,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
32.0,police,Consonant,26,police,26,,,,,15,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
33.0,station,Consonant,22,station,24,a,4555.0,,,16,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
34.0,people,Consonant,316,people,327,,,,,20,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0001
35.0,helicopter,Consonant,3,helicopter,11,another,127.0,,,6,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
36.0,fire,Consonant,17,fire,19,,,,,9,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
37.0,heartland,Consonant,2,heartland,2,the,9347.0,,,15,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
38.0,time,Consonant,479,time,558,this,886.0,,,19,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
39.0,crew,Consonant,15,crew,17,the,9347.0,,,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0002
40.0,hundreds,Consonant,17,hundred,17,,,,,4,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
41.0,demonstrators,Consonant,1,demonstrator,1,,,,,6,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
42.0,troops,Consonant,22,troops,22,,,,,11,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
43.0,bride,Consonant,1,bride,2,a,4555.0,,,19,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0003
44.0,army,Consonant,25,army,26,the,9347.0,,,7,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
45.0,amount,Consonant,76,amount,85,an,590.0,,,11,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
46.0,information,Vowel,89,information,89,,,,,13,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
47.0,relatives,Consonant,4,relative,6,,,,,16,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
