,word,count,type
0,federal,21,adj
1,associate,2,adj
2,spiritual,8,adj
3,Nervous,1,adj
4,succesfull,1,adj
5,arab,1,adj
6,eastern,5,adj
7,several,53,adj
8,hostile,4,adj
9,Sunni,21,adj
10,yound,1,adj
11,newlywed,1,adj
12,enormous,6,adj
13,bad,50,adj
14,high,46,adj
15,miniscule,2,adj
16,concerned,3,adj
17,eventually,1,adj
18,freewheeling,1,adj
19,mathematical,3,adj
20,good,255,adj
21,respectable,2,adj
22,entire,34,adj
23,secular,2,adj
24,Israeli,14,adj
25,terrorist,17,adj
26,radical,9,adj
27,Palestinian,19,adj
28,major,35,adj
29,local,47,adj
30,best,145,adj
31,young,33,adj
32,Muslim,11,adj
33,effective,7,adj
34,wide,5,adj
35,Iraqi,37,adj
36,political,41,adj
37,religious,21,adj
38,immediate,9,adj
39,general,15,adj
40,big,55,adj
41,Radical,1,adj
42,Shiite,13,adj
43,American,65,adj
44,unrelated,1,adj
45,first,109,adj
46,most,36,adj
47,profitable,2,adj
48,flawless,2,adj
49,real,54,adj
50,great,181,adj
51,successful,9,adj
52,blessed,1,adj
53,laudatory,1,adj
54,efficient,5,adj
55,simple,16,adj
56,fewest,1,adj
57,low,9,adj
58,other,281,adj
59,likely,3,adj
60,huge,27,adj
61,next,108,adj
62,whole,52,adj
63,Swedish,2,adj
64,new,234,adj
65,fun,16,adj
66,international,36,adj
67,Western,17,adj
68,long,62,adj
69,top,24,adj
70,cute,6,adj
71,little,79,adj
72,precious,2,adj
73,fair,11,adj
74,Armed,3,adj
75,northern,6,adj
76,aged,2,adj
77,substantial,7,adj
78,Arab,25,adj
79,black,25,adj
80,hottest,1,adj
81,nuclear,34,adj
82,better,47,adj
83,last,130,adj
84,few,128,adj
85,same,128,adj
86,Iranian,14,adj
87,covert,3,adj
88,Arial,2,adj
89,loose,2,adj
90,slightest,2,adj
91,chemical,9,adj
92,dual,4,adj
93,normal,9,adj
94,mythical,2,adj
95,military,48,adj
96,own,83,adj
97,predictable,2,adj
98,southern,1,adj
99,illegal,4,adj
100,main,36,adj
101,steep,2,adj
102,inaugural,1,adj
103,rambling,1,adj
104,random,2,adj
105,inside,4,adj
106,permanent,7,adj
107,lead,4,adj
108,full,44,adj
109,crucial,3,adj
110,past,25,adj
111,present,7,adj
112,old,61,adj
113,future,10,adj
114,brave,3,adj
115,particular,18,adj
116,small,67,adj
117,possible,25,adj
118,open,16,adj
119,popular,10,adj
120,non-Microsoft,1,adj
121,higher,7,adj
122,enlightened,1,adj
123,large,41,adj
124,Fascinating,1,adj
125,inexpensive,1,adj
126,more,94,adj
127,private,21,adj
128,inevitable,1,adj
129,gross,6,adj
130,massive,8,adj
131,committed,2,adj
132,Spanish,8,adj
133,administrative,3,adj
134,experienced,3,adj
135,ulterior,5,adj
136,social,17,adj
137,economic,17,adj
138,extreme,5,adj
139,many,152,adj
140,double,7,adj
141,trenchant,1,adj
142,recent,32,adj
143,dark,8,adj
144,classical,2,adj
145,logical,1,adj
146,upper,7,adj
147,militant,18,adj
148,Lebanese,5,adj
149,Last,12,adj
150,chief,6,adj
151,violent,7,adj
152,happy,11,adj
153,fantastic,10,adj
154,Fucking,1,adj
155,direct,18,adj
156,bilateral,2,adj
157,strong,24,adj
158,privileged,4,adj
159,perverted,1,adj
160,quick,13,adj
161,conventional,5,adj
162,confidential,7,adj
163,Best,43,adj
164,Direct,3,adj
165,close,23,adj
166,highest,5,adj
167,short,28,adj
168,alternative,9,adj
169,additional,24,adj
170,financial,21,adj
171,material,2,adj
172,Intrastate,1,adj
173,Senior,11,adj
174,adverse,2,adj
175,necessary,12,adj
176,further,13,adj
177,clean,13,adj
178,different,63,adj
179,much,50,adj
180,extra,20,adj
181,physical,13,adj
182,important,25,adj
183,sooner,1,adj
184,certain,28,adj
185,interesting,9,adj
186,cool,5,adj
187,FREE,3,adj
188,affectionate,2,adj
189,ultimate,6,adj
190,intimate,2,adj
191,mutual,7,adj
192,True,2,adj
193,greater,5,adj
194,considerable,8,adj
195,emotional,2,adj
196,clear,9,adj
197,straight,4,adj
198,Raw,1,adj
199,fisrt,1,adj
200,historical,7,adj
201,unable,2,adj
202,Imperial,2,adj
203,live,9,adj
204,Good,50,adj
205,Special,3,adj
206,prompt,5,adj
207,attached,1,adj
208,special,30,adj
209,only,66,adj
210,Alternate,1,adj
211,Aggregate,1,adj
212,appropriate,12,adj
213,Fed,1,adj
214,Geometric,1,adj
215,Brownian,1,adj
216,hourly,2,adj
217,Ordinary,1,adj
218,Least,1,adj
219,standard,10,adj
220,positive,10,adj
221,monthly,9,adj
222,Kindest,1,adj
223,bright,6,adj
224,personable,1,adj
225,nice,55,adj
226,Stochastic,1,adj
227,net,4,adj
228,proper,8,adj
229,fractional,1,adj
230,personal,24,adj
231,knowledgeable,2,adj
232,various,13,adj
233,convenient,5,adj
234,common,16,adj
235,such,56,adj
236,free,37,adj
237,FIRST,1,adj
238,devoted,4,adj
239,specific,18,adj
240,preliminary,2,adj
241,vital,7,adj
242,delicious,7,adj
243,hot,13,adj
244,closer,3,adj
245,non-human,3,adj
246,useful,6,adj
247,japanese,1,adj
248,sophisticated,2,adj
249,conversational,1,adj
250,former,35,adj
251,dear,2,adj
252,multiple,10,adj
253,planetary,1,adj
254,national,15,adj
255,fourth,4,adj
256,Indian,44,adj
257,human,30,adj
258,Most,4,adj
259,First,10,adj
260,seak,1,adj
261,harmless,1,adj
262,silky,1,adj
263,Frequent,2,adj
264,discount,3,adj
265,Cheap,3,adj
266,cheap,16,adj
267,Corporate,6,adj
268,Promotional,1,adj
269,foreign,13,adj
270,excellent,29,adj
271,COMPLETE,1,adj
272,Several,3,adj
273,online,15,adj
274,larger,17,adj
275,behavioral,1,adj
276,lengthy,2,adj
277,intensive,1,adj
278,strange,2,adj
279,sexual,8,adj
280,true,13,adj
281,sincere,1,adj
282,genuine,2,adj
283,Unlimited,2,adj
284,Uncensored,3,adj
285,Secure,2,adj
286,East,2,adj
287,Specialized,2,adj
288,Total,4,adj
289,freelance,1,adj
290,natural,29,adj
291,therapeutic,1,adj
292,green,13,adj
293,Warm,3,adj
294,vast,11,adj
295,mighty,1,adj
296,bountiful,1,adj
297,wildest,1,adj
298,laden,1,adj
299,toxic,6,adj
300,heavy,10,adj
301,similar,15,adj
302,current,24,adj
303,qualified,5,adj
304,public,31,adj
305,available,13,adj
306,prior,11,adj
307,affordable,10,adj
308,Crude,1,adj
309,light,6,adj
310,sweet,8,adj
311,offshore,2,adj
312,global,27,adj
313,nonessential,2,adj
314,giant,3,adj
315,record,3,adj
316,excelnt,1,adj
317,wise,3,adj
318,corporate,14,adj
319,commercial,11,adj
320,bureaucratic,1,adj
321,potential,9,adj
322,Interim,1,adj
323,upcoming,7,adj
324,presidential,4,adj
325,official,14,adj
326,unrestricted,1,adj
327,senior,12,adj
328,civil,16,adj
329,done,3,adj
330,critical,2,adj
331,Argentinian,2,adj
332,beautiful,15,adj
333,lucky,4,adj
334,Bare,1,adj
335,Certain,1,adj
336,bare,2,adj
337,GOOD,5,adj
338,stupid,4,adj
339,migratory,2,adj
340,under,1,adj
341,stranger,1,adj
342,famous,3,adj
343,academic,3,adj
344,forensic,1,adj
345,Smart,3,adj
346,touch,1,adj
347,Officiol,1,adj
348,smart,4,adj
349,faster,3,adj
350,stereo,1,adj
351,dodgy,1,adj
352,irish,5,adj
353,nearby,2,adj
354,romantic,4,adj
355,Modern,2,adj
356,modern,15,adj
357,final,28,adj
358,german,1,adj
359,Asian,7,adj
360,Edible,1,adj
361,suburban,1,adj
362,visible,6,adj
363,perfect,13,adj
364,male,4,adj
365,unfertilized,1,adj
366,automatic,2,adj
367,american,2,adj
368,inclusive,1,adj
369,earlier,17,adj
370,argentinian,1,adj
371,coagulated,1,adj
372,numerous,9,adj
373,white,13,adj
374,Private,2,adj
375,Global,14,adj
376,liberal,4,adj
377,tiny,5,adj
378,creme,1,adj
379,siamese,1,adj
380,Norwegian,3,adj
381,blue,7,adj
382,veiled,1,adj
383,female,7,adj
384,ordinary,2,adj
385,key,24,adj
386,limited,9,adj
387,early,23,adj
388,amazing,18,adj
389,indoor,3,adj
390,easiest,4,adj
391,right,29,adj
392,french,5,adj
393,French,8,adj
394,straigthforward,1,adj
395,sexy,1,adj
396,unique,10,adj
397,Great,91,adj
398,Lovley,1,adj
399,fab,1,adj
400,square,2,adj
401,Cheapest,3,adj
402,Mexican,4,adj
403,informed,1,adj
404,Simple,3,adj
405,Quick,1,adj
406,Wonderful,7,adj
407,reasonable,14,adj
408,Favorite,4,adj
409,outstanding,8,adj
410,professional,18,adj
411,friendly,27,adj
412,pleasant,9,adj
413,High,2,adj
414,Horrible,4,adj
415,Easy,2,adj
416,helpful,7,adj
417,Awesome,6,adj
418,awesome,9,adj
419,worth,7,adj
420,nicest,4,adj
421,Bad,4,adj
422,favorite,14,adj
423,Nice,10,adj
424,cosy,1,adj
425,Prime,1,adj
426,luxurious,2,adj
427,International,4,adj
428,homestyle,1,adj
429,Japanese,6,adj
430,Cool,1,adj
431,average,3,adj
432,crappy,5,adj
433,Excellent,25,adj
434,poor,21,adj
435,hard,18,adj
436,Holy,2,adj
437,Wrong,1,adj
438,Beautiful,3,adj
439,Diverse,1,adj
440,Worst,7,adj
441,Mediterranean,1,adj
442,fat,2,adj
443,WONDERFUL,1,adj
444,fast,11,adj
445,yellow,6,adj
446,satisfying,1,adj
447,Clean,5,adj
448,cheapest,10,adj
449,complete,14,adj
450,Italian,9,adj
451,discussing,1,adj
452,negative,5,adj
453,hidden,2,adj
454,cold,4,adj
455,daily,19,adj
456,Poor,6,adj
457,dead,14,adj
458,mass,8,adj
459,smaller,9,adj
460,wonderful,23,adj
461,elementary,3,adj
462,wrong,13,adj
463,easy,16,adj
464,stunning,1,adj
465,Fantastic,8,adj
466,relaxing,1,adj
467,inspiring,1,adj
468,warm,11,adj
469,decent,11,adj
470,born,1,adj
471,BEST,6,adj
472,spontaneous,1,adj
473,single,23,adj
474,urgent,3,adj
475,Lovely,2,adj
476,charming,1,adj
477,homely,1,adj
478,yummy,2,adj
479,creative,7,adj
480,Friendly,6,adj
481,chronic,4,adj
482,intractable,2,adj
483,sure,7,adj
484,Dark,1,adj
485,Electric,2,adj
486,Accurate,1,adj
487,cheep,1,adj
488,criminal,6,adj
489,exceptional,4,adj
490,overpriced,4,adj
491,obvious,5,adj
492,authentic,4,adj
493,British,5,adj
494,fresh,16,adj
495,neat,1,adj
496,Prompt,2,adj
497,New,5,adj
498,Solar,1,adj
499,lovely,9,adj
500,GREAT,9,adj
501,Pure,2,adj
502,gorgeous,1,adj
503,enough,19,adj
504,AMAZING,2,adj
505,AWESOME,2,adj
506,knowledgable,1,adj
507,useless,4,adj
508,HUGE,2,adj
509,regular,15,adj
510,honest,7,adj
511,lowest,3,adj
512,dental,6,adj
513,usual,10,adj
514,quality,9,adj
515,typical,7,adj
516,indie,1,adj
517,adj,2,adj
518,fledged,1,adj
519,peaceful,4,adj
520,Many,18,adj
521,Angry,1,adj
522,anti-American,2,adj
523,western,4,adj
524,dedicated,3,adj
525,aggressive,4,adj
526,tense,1,adj
527,disproportionate,1,adj
528,idelogical,1,adj
529,actual,11,adj
530,Important,3,adj
531,anti-gay,1,adj
532,front,14,adj
533,biggest,6,adj
534,humanitarian,1,adj
535,troubling,1,adj
536,ethnic,5,adj
537,dazzling,1,adj
538,less,13,adj
539,ostensible,1,adj
540,intrinsic,1,adj
541,medical,16,adj
542,tremendous,3,adj
543,prime,6,adj
544,leftist,1,adj
545,legitimate,5,adj
546,Parliamentary,1,adj
547,serious,15,adj
548,cancerous,1,adj
549,innocent,7,adj
550,eventual,1,adj
551,inherent,2,adj
552,plain,6,adj
553,willing,7,adj
554,mortal,2,adj
555,basic,9,adj
556,initial,17,adj
557,anti-Shiite,1,adj
558,Islamic,10,adj
559,anti-Muslim,1,adj
560,executive,5,adj
561,bitter,1,adj
562,Afghan,11,adj
563,21st,2,adj
564,worrying,1,adj
565,technical,8,adj
566,Wahhabi,1,adj
567,joint,4,adj
568,Egyptian,14,adj
569,distinctive,2,adj
570,Jordanian,1,adj
571,Salafi,1,adj
572,like,10,adj
573,original,12,adj
574,worrisome,1,adj
575,orange,1,adj
576,fundamentalist,4,adj
577,preeminent,1,adj
578,operational,3,adj
579,counter-terrorism,1,adj
580,excited,1,adj
581,Pakistani,19,adj
582,protective,3,adj
583,brown,2,adj
584,blonde,1,adj
585,overdue,1,adj
586,Original,1,adj
587,Due,1,adj
588,preferable,1,adj
589,broken,2,adj
590,stronger,1,adj
591,suitable,3,adj
592,related,14,adj
593,earliest,3,adj
594,separate,15,adj
595,excess,1,adj
596,Wholesale,3,adj
597,blank,5,adj
598,sample,1,adj
599,subject,3,adj
600,imminent,1,adj
601,Administrative,6,adj
602,speculative,1,adj
603,greatest,5,adj
604,Available,1,adj
605,Privileged,1,adj
606,Confidential,2,adj
607,responsible,6,adj
608,minor,6,adj
609,healthy,5,adj
610,comprehensive,4,adj
611,ample,1,adj
612,Toxic,1,adj
613,depressing,1,adj
614,defunctc,1,adj
615,Legal,8,adj
616,acceptable,3,adj
617,Regulatory,2,adj
618,latest,8,adj
619,ideal,2,adj
620,correct,8,adj
621,accurate,3,adj
622,respective,3,adj
623,African,2,adj
624,uplifting,1,adj
625,interactive,1,adj
626,active,8,adj
627,exciting,2,adj
628,minded,2,adj
629,integrated,1,adj
630,gay,4,adj
631,Baptist,1,adj
632,Double,1,adj
633,coupled,1,adj
634,lazy,2,adj
635,brillant,1,adj
636,lovable,1,adj
637,compelling,2,adj
638,fascinating,2,adj
639,urban,6,adj
640,secure,2,adj
641,deadly,2,adj
642,artificial,1,adj
643,Inhibitory,2,adj
644,cortical,2,adj
645,inhibitory,1,adj
646,recurrent,1,adj
647,excitatory,1,adj
648,precise,1,adj
649,Costly,1,adj
650,Related,1,adj
651,overwhelming,5,adj
652,powerful,10,adj
653,destructive,2,adj
654,Chilean,1,adj
655,level,1,adj
656,annual,3,adj
657,Chinese,19,adj
658,Chronic,1,adj
659,AVID,1,adj
660,Different,1,adj
661,Furry,1,adj
662,wholesale,3,adj
663,cuddly,2,adj
664,Professional,2,adj
665,Full,5,adj
666,ready,3,adj
667,minimum,6,adj
668,total,15,adj
669,Personal,1,adj
670,Magic,1,adj
671,magic,1,adj
672,bass,1,adj
673,Kind,3,adj
674,timid,1,adj
675,lunar,4,adj
676,Wise,1,adj
677,tight,5,adj
678,sleek,2,adj
679,Lunar,1,adj
680,extended,2,adj
681,gargantuan,1,adj
682,solid,4,adj
683,metric,1,adj
684,external,4,adj
685,Funny,1,adj
686,slight,7,adj
687,Irish,5,adj
688,essential,1,adj
689,Green,5,adj
690,White,2,adj
691,Major,4,adj
692,Fun,1,adj
693,funny,2,adj
694,grand,2,adj
695,secret,4,adj
696,italian,2,adj
697,cowardly,1,adj
698,diffrent,1,adj
699,preferential,1,adj
700,alexandrine,1,adj
701,indian,1,adj
702,rough,3,adj
703,near,5,adj
704,far,3,adj
705,previous,13,adj
706,rich,3,adj
707,domestic,4,adj
708,pre-university,1,adj
709,above,8,adj
710,Unique,1,adj
711,Mad,1,adj
712,Guaranteed,1,adj
713,Compact,1,adj
714,compact,2,adj
715,weird,3,adj
716,fifferent,1,adj
717,captive,2,adj
718,hind,2,adj
719,hid,1,adj
720,chinese,2,adj
721,fluid,3,adj
722,sized,1,adj
723,sensible,1,adj
724,fitted,1,adj
725,moderate,3,adj
726,waterproof,2,adj
727,OPTICAL,2,adj
728,digital,2,adj
729,individual,5,adj
730,Fast,3,adj
731,bl**dy,1,adj
732,metro,1,adj
733,1/2,1,adj
734,bland,2,adj
735,sick,6,adj
736,meal,2,adj
737,raw,3,adj
738,casual,1,adj
739,Australian,2,adj
740,Friendliest,1,adj
741,Informative,1,adj
742,bast,1,adj
743,worst,21,adj
744,red,5,adj
745,greek,2,adj
746,finest,2,adj
747,German,8,adj
748,awful,2,adj
749,OILY,1,adj
750,Open,1,adj
751,Amazing,6,adj
752,mobile,4,adj
753,lower,6,adj
754,brilliant,1,adj
755,rudest,2,adj
756,vegetarian,3,adj
757,Old,1,adj
758,Top,4,adj
759,artistic,2,adj
760,contemporary,1,adj
761,Breathtaking,1,adj
762,fabulous,5,adj
763,Sheer,1,adj
764,wooden,1,adj
765,Decent,1,adj
766,safe,10,adj
767,transparent,2,adj
768,Perfect,3,adj
769,wornderful,1,adj
770,nasty,2,adj
771,rude,5,adj
772,WORST,1,adj
773,Superior,1,adj
774,fine,10,adj
775,mystified,1,adj
776,exelent,1,adj
777,superior,2,adj
778,weekly,12,adj
779,significant,14,adj
780,worse,2,adj
781,Thai,5,adj
782,thai,1,adj
783,OK,3,adj
784,Slow,1,adj
785,Terrible,4,adj
786,hungry,1,adj
787,organized,6,adj
788,back,6,adj
789,electrical,4,adj
790,Cleanest,1,adj
791,satisfactory,3,adj
792,kind,3,adj
793,relaxed,2,adj
794,spicy,5,adj
795,computer,1,adj
796,involved,9,adj
797,challenging,4,adj
798,slow,8,adj
799,TERRIBLE,1,adj
800,noticeable,1,adj
801,post-op,1,adj
802,Hidden,2,adj
803,asian,4,adj
804,rear,5,adj
805,busy,9,adj
806,Definite,2,adj
807,Incompetent,1,adj
808,lackluster,2,adj
809,discriminating,1,adj
810,Average,7,adj
811,mexican,3,adj
812,careless,1,adj
813,bigger,7,adj
814,Mediocre,1,adj
815,luster,1,adj
816,tasty,2,adj
817,Deep,2,adj
818,deep,10,adj
819,Syrian,8,adj
820,respected,1,adj
821,cosmetic,1,adj
822,assistant,1,adj
823,legal,23,adj
824,dominant,4,adj
825,junior,2,adj
826,mere,3,adj
827,scared,1,adj
828,bloody,6,adj
829,governmental,3,adj
830,sudden,2,adj
831,false,5,adj
832,Shia,2,adj
833,Fallujan,3,adj
834,pregnant,1,adj
835,unforgivable,1,adj
836,soothing,1,adj
837,authoritative,1,adj
838,scientific,3,adj
839,widespread,1,adj
840,Russian,4,adj
841,dramatic,5,adj
842,reproductive,1,adj
843,neonatal,1,adj
844,post-accident,1,adj
845,persistent,2,adj
846,glandular,1,adj
847,primitive,1,adj
848,wholesome,1,adj
849,uncontaminated,1,adj
850,remaining,1,adj
851,middle,2,adj
852,iron,2,adj
853,unnecessary,2,adj
854,provocative,1,adj
855,sharp,1,adj
856,Republican,5,adj
857,partial,3,adj
858,oldest,6,adj
859,strongest,4,adj
860,fated,1,adj
861,authoritarian,1,adj
862,latter,2,adj
863,dire,2,adj
864,neoconservative,1,adj
865,asymmetrical,6,adj
866,armed,4,adj
867,thorough,2,adj
868,late,11,adj
869,ramshackle,1,adj
870,weak,2,adj
871,Anti-Israeli,1,adj
872,ideological,1,adj
873,theocratic,1,adj
874,moral,6,adj
875,Secular,1,adj
876,populist,1,adj
877,indefinite,2,adj
878,unprecedented,2,adj
879,pro-Zionist,1,adj
880,Sinhala,1,adj
881,Sinhalese,3,adj
882,formal,12,adj
883,Lankan,1,adj
884,reclusive,1,adj
885,Tamil,1,adj
886,diplomatic,2,adj
887,older,10,adj
888,capable,4,adj
889,provincial,2,adj
890,tangible,1,adj
891,frustrated,1,adj
892,difficult,8,adj
893,dirty,4,adj
894,neighborly,1,adj
895,Hindu,4,adj
896,conciliatory,2,adj
897,hawkish,1,adj
898,Democratic,1,adj
899,defensive,2,adj
900,feasible,3,adj
901,quixotic,1,adj
902,third,17,adj
903,jihadi,1,adj
904,catastrophic,2,adj
905,frequent,4,adj
906,empty,2,adj
907,trusty,2,adj
908,lucrative,1,adj
909,supersonic,1,adj
910,journalistic,1,adj
911,brief,3,adj
912,yearly,4,adj
913,anti-Bush,1,adj
914,honorable,4,adj
915,eerie,2,adj
916,interim,1,adj
917,shrill,1,adj
918,amusing,2,adj
919,nonsensical,1,adj
920,Kurdish,2,adj
921,largest,11,adj
922,Sectarian,1,adj
923,sectarian,1,adj
924,rabid,1,adj
925,viable,3,adj
926,commonsense,1,adj
927,central,6,adj
928,seperate,3,adj
929,fatal,2,adj
930,tribal,2,adj
931,terrible,7,adj
932,faithful,2,adj
933,pesky,1,adj
934,skinned,1,adj
935,inquisitive,1,adj
936,regional,11,adj
937,Philippine,3,adj
938,ancient,3,adj
939,Strong,1,adj
940,post-Chavez,1,adj
941,Venezuelan,1,adj
942,vain,1,adj
943,comfortable,8,adj
944,embarrassing,2,adj
945,wider,3,adj
946,relevant,5,adj
947,non-social,1,adj
948,Former,3,adj
949,ongoing,8,adj
950,missing,4,adj
951,NEW,3,adj
952,Only,1,adj
953,pro-India,2,adj
954,Bangladeshi,3,adj
955,virtual,2,adj
956,absolute,7,adj
957,glaring,2,adj
958,Arakan,2,adj
959,alleged,3,adj
960,miserable,2,adj
961,northeastern,1,adj
962,secessionist,1,adj
963,east,5,adj
964,unnamed,3,adj
965,fake,3,adj
966,unofficial,1,adj
967,unlawful,1,adj
968,naval,5,adj
969,strategic,2,adj
970,anti-India,1,adj
971,formidable,1,adj
972,maritime,2,adj
973,Steady,1,adj
974,steady,1,adj
975,anti-Indian,1,adj
976,quarterly,1,adj
977,Balochi,2,adj
978,constant,3,adj
979,Central,1,adj
980,electoral,2,adj
981,favourite,1,adj
982,tripartite,2,adj
983,tough,5,adj
984,tactical,2,adj
985,anti-army,1,adj
986,actionable,1,adj
987,strenuous,1,adj
988,election,1,adj
989,Pashtun,1,adj
990,unlimited,5,adj
991,Big,3,adj
992,wee,1,adj
993,addictive,1,adj
994,erratic,2,adj
995,explosive,2,adj
996,disastrous,1,adj
997,civilian,2,adj
998,sadistic,1,adj
999,nervous,4,adj
1000,spatial,1,adj
1001,severe,9,adj
1002,devastating,3,adj
1003,handsome,1,adj
1004,rare,2,adj
1005,rural,3,adj
1006,statewide,1,adj
1007,overall,9,adj
1008,unpaid,1,adj
1009,senatorial,1,adj
1010,drunk,1,adj
1011,untouched,1,adj
1012,complex,3,adj
1013,Moldovan,3,adj
1014,terrifying,1,adj
1015,Bosnian,2,adj
1016,harshest,1,adj
1017,mainstream,1,adj
1018,representative,1,adj
1019,untouchable,1,adj
1020,downtown,1,adj
1021,Satanic,1,adj
1022,naked,6,adj
1023,tearful,1,adj
1024,horrific,2,adj
1025,subsequent,5,adj
1026,Small,2,adj
1027,polygamous,4,adj
1028,watchful,1,adj
1029,vulnerable,2,adj
1030,southwestern,1,adj
1031,underage,2,adj
1032,secluded,1,adj
1033,apocalyptic,1,adj
1034,able,7,adj
1035,conservative,1,adj
1036,satanic,2,adj
1037,juicy,2,adj
1038,gullible,2,adj
1039,dangerous,5,adj
1040,youngest,3,adj
1041,pretend,1,adj
1042,educational,4,adj
1043,underground,2,adj
1044,phoney,1,adj
1045,REAL,3,adj
1046,deathly,1,adj
1047,couter-cultural,1,adj
1048,Imaginary,2,adj
1049,relentless,1,adj
1050,shocking,1,adj
1051,obsessed,2,adj
1052,freaky,1,adj
1053,ignorant,1,adj
1054,20th,1,adj
1055,degenerate,2,adj
1056,parallel,1,adj
1057,Aryan,1,adj
1058,Jewish,5,adj
1059,undecided,1,adj
1060,obscure,1,adj
1061,magickal,1,adj
1062,transcendent,1,adj
1063,impossible,1,adj
1064,Mormon,1,adj
1065,Kindly,1,adj
1066,succint,1,adj
1067,Executive,15,adj
1068,Eastern,2,adj
1069,alchemical,2,adj
1070,oppressive,1,adj
1071,hardcore,1,adj
1072,vacuous,1,adj
1073,pyrimidal,1,adj
1074,advisory,1,adj
1075,multi-nation,1,adj
1076,multi-national,2,adj
1077,proverbial,1,adj
1078,broader,1,adj
1079,non-Arab,1,adj
1080,Moslem,9,adj
1081,Christian,1,adj
1082,poison,1,adj
1083,Libyan,1,adj
1084,corrupt,3,adj
1085,Human,2,adj
1086,grotesque,1,adj
1087,cultural,5,adj
1088,wealthy,1,adj
1089,advanced,5,adj
1090,cruel,3,adj
1091,outside,11,adj
1092,silent,2,adj
1093,potent,1,adj
1094,psychological,1,adj
1095,More,4,adj
1096,every,1,adj
1097,horrible,10,adj
1098,lifelong,1,adj
1099,hysterical,2,adj
1100,undisputed,1,adj
1101,preventive,2,adj
1102,determined,4,adj
1103,crowded,2,adj
1104,strict,2,adj
1105,blooded,1,adj
1106,murderous,1,adj
1107,fanatic,2,adj
1108,supreme,3,adj
1109,outcast,1,adj
1110,naive,2,adj
1111,retarded,2,adj
1112,poorest,1,adj
1113,desperate,2,adj
1114,vicious,1,adj
1115,inhuman,1,adj
1116,cynical,1,adj
1117,fellow,5,adj
1118,affluent,2,adj
1119,offensive,2,adj
1120,humble,3,adj
1121,Civilized,1,adj
1122,second,36,adj
1123,deliberate,2,adj
1124,incredible,2,adj
1125,preposterous,1,adj
1126,known,2,adj
1127,equal,4,adj
1128,subtle,3,adj
1129,opposite,2,adj
1130,Little,1,adj
1131,adjacent,1,adj
1132,European,6,adj
1133,bereaved,1,adj
1134,Orwellian,1,adj
1135,Huge,4,adj
1136,dysfunctional,1,adj
1137,concentric,1,adj
1138,inner,8,adj
1139,soft,5,adj
1140,Communist,2,adj
1141,electronic,3,adj
1142,outer,9,adj
1143,noble,2,adj
1144,Saudi,2,adj
1145,horrifying,1,adj
1146,receptive,1,adj
1147,blind,7,adj
1148,civilized,5,adj
1149,fashioned,3,adj
1150,anti-democratic,1,adj
1151,democratic,2,adj
1152,Other,6,adj
1153,mental,7,adj
1154,lawless,2,adj
1155,elite,2,adj
1156,malignant,1,adj
1157,pre-war,1,adj
1158,post-war,1,adj
1159,unfriendly,1,adj
1160,elaborate,1,adj
1161,fertile,1,adj
1162,forceful,1,adj
1163,judicial,1,adj
1164,racial,7,adj
1165,inflammatory,1,adj
1166,temporary,3,adj
1167,understandable,2,adj
1168,biological,12,adj
1169,unbelievable,1,adj
1170,ambitious,3,adj
1171,lone,2,adj
1172,biochemical,4,adj
1173,symbolic,1,adj
1174,Handwritten,1,adj
1175,5th,4,adj
1176,West,1,adj
1177,sharpest,1,adj
1178,virulent,1,adj
1179,traceable,1,adj
1180,nonconventional,1,adj
1181,unweaponized,1,adj
