,n_word,n_id,n_type,det,num,clf,adj,nmod,sen_len,sen_id
0,大小,5,nsubj,,,[],[],[],30,dev-s1
1,最终,14,nmod,,,[],[],[],30,dev-s1
2,结果,16,nsubj,,,[],[],"['的', '最终']",30,dev-s1
3,向量,24,nmod,,,[],[],[],30,dev-s1
4,礼车,6,nsubj,,,[],['多数'],"['加长', '型']",12,dev-s2
5,租车,8,nmod,,,[],[],[],12,dev-s2
6,公司,9,nmod,,,[],[],['租车'],12,dev-s2
7,财产,11,root,,,[],[],"['租车', '的', '公司']",12,dev-s2
8,车辆,2,nsubj,这种,,[],[],[],26,dev-s3
9,私人,5,nsubj,,,[],[],[],26,dev-s3
10,音频,13,nmod,,,[],[],[],26,dev-s3
11,设备,14,obj,,,[],['昂贵'],['音频'],26,dev-s3
12,电视,16,compound,,,[],[],[],26,dev-s3
13,影碟,19,compound,,,[],[],[],26,dev-s3
14,吧台,23,conj,,,[],[],[],26,dev-s3
15,冰箱,25,conj,,,[],[],[],26,dev-s3
16,动作,1,nmod,,,[],[],[],22,dev-s4
17,冒险,2,nmod,,,[],[],[],22,dev-s4
18,游戏,3,nsubj,,,[],[],"['动作', '冒险']",22,dev-s4
19,冒险,9,nmod,,,[],[],[],22,dev-s4
20,游戏,10,nmod,,,[],[],['冒险'],22,dev-s4
21,分支,12,root,,,[],[],"['冒险', '的', '游戏']",22,dev-s4
22,动作,17,nmod,,,[],[],[],22,dev-s4
23,游戏,18,nmod,,,[],[],['动作'],22,dev-s4
24,特征,21,obj,,,[],['一些'],"['动作', '的', '游戏']",22,dev-s4
25,测试,2,nsubj,,,[],[],['其'],29,dev-s5
26,美术,5,nmod,,,[],[],[],29,dev-s5
27,认知,9,nmod,,,[],[],[],29,dev-s5
28,行为,10,nmod,,,[],[],[],29,dev-s5
29,治疗,11,conj,,,[],[],"['认知', '行为']",29,dev-s5
30,洞察,13,nmod,,,[],[],[],29,dev-s5
31,疗法,14,conj,,,[],[],['洞察'],29,dev-s5
32,同时,16,nmod:tmod,,,[],[],[],29,dev-s5
33,行为,18,nmod,,,[],[],[],29,dev-s5
34,分析,19,obj,,,[],[],['行为'],29,dev-s5
35,个,23,clf,,一,[],[],[],29,dev-s5
36,理论,24,compound,,,[],[],[],29,dev-s5
37,交流,27,nmod,,,[],[],[],29,dev-s5
38,平台,28,obj,,,"['一', '个']",[],"['理论', '的', '性', '交流']",29,dev-s5
39,巧克力,3,compound,,,[],[],[],22,dev-s6
40,柜台,7,obj,,,[],[],[],22,dev-s6
41,生产,14,obj,,,[],[],[],22,dev-s6
