,adj_word,adj_lemma,adj_id,adj_type,adj_comb,num_adj,n_word,n_lemma,n_id,sen_len,sen_id
0,American,american,5,amod,American,1,forces,force,6,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
1,Syrian,syrian,27,amod,Syrian,1,border,border,28,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
2,respected,respected,6,amod,respected,1,cleric,cleric,7,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002
3,Iraqi,iraqi,3,amod,Iraqi,1,authorities,authority,4,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003
4,terrorist,terrorist,12,amod,terrorist,1,cells,cell,13,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003
5,equivalent,equivalent,6,root,equivalent,1,,,,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
6,high,high,25,amod,high,1,level,level,26,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
7,third,third,2,nsubj:pass,third,1,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006
8,Iraqi,iraqi,31,amod,Iraqi,1,government,government,32,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
9,hopeful,hopeful,34,xcomp,hopeful,1,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
10,other,other,16,amod,other,1,side,side,17,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0010
11,big,big,22,amod,big,1,jump,jump,23,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
12,cosmetic,cosmetic,7,amod,cosmetic,1,surgeon,surgeon,8,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013
13,southeastern,southeastern,5,amod,southeastern,1,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
14,Shiite,shiite,11,amod,Shiite,1,population,population,12,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
15,main,main,5,amod,main,1,difference,difference,6,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
16,assistant,assistant,7,amod,assistant,1,dean,dean,8,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0017
17,other,other,2,amod,other,1,leaders,leader,4,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
18,past,past,10,amod,past,1,week,week,11,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
19,dead,dead,10,xcomp,dead,1,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
20,Iraqi,iraqi,14,amod,Iraqi,1,soldiers,soldier,15,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
21,Iraqi,iraqi,37,amod,Iraqi,1,uniforms,uniform,39,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
22,Sunni,sunni,6,amod,"Sunni, Arab",2,clan,clan,8,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
23,Arab,arab,7,amod,"Sunni, Arab",2,clan,clan,8,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
24,Sunni,sunni,12,amod,Sunni,1,observers,observer,13,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
25,Shiite,shiite,16,amod,Shiite,1,elements,element,17,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
26,Sunni,sunni,34,amod,"Sunni, Arab",2,guerrillas,guerrilla,36,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
27,Arab,arab,35,amod,"Sunni, Arab",2,guerrillas,guerrilla,36,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
28,Iraqi,iraqi,6,amod,Iraqi,1,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
29,involved,involved,39,acl,involved,1,grounds,grounds,34,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
30,civil,civil,49,amod,civil,1,office,office,50,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
31,legal,legal,7,amod,legal,1,grounds,grounds,8,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0027
32,small,small,5,amod,small,1,one,one,6,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0028
33,significant,significant,8,root,significant,1,,,,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0029
34,many,many,21,amod,"many, Sunni",2,,,,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030
35,Sunni,sunni,22,amod,"many, Sunni",2,,,,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030
36,dominant,dominant,7,amod,"dominant, Shiite",2,list,list,9,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
37,Shiite,shiite,8,amod,"dominant, Shiite",2,list,list,9,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
38,many,many,20,amod,many,1,seats,seat,21,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
39,new,new,24,amod,new,1,parliament,parliament,25,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
40,junior,junior,3,amod,junior,1,officers,officer,4,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
41,old,old,7,amod,old,1,army,army,9,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
42,recent,recent,16,amod,recent,1,months,month,17,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
