,n_word,n_lemma,n_id,det,det_lemma,num,num_lemma,adj,num_adj,ncomp,ncomp_lemma,num_ncomp,nmod,nmod_lemma,num_nmod,sen_len,sen_id
0,forces,force,6,,,,,American,1,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
1,preacher,preacher,15,the,the,,,,,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
2,mosque,mosque,18,the,the,,,,,,,,town,town,1,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
3,town,town,21,the,the,,,,,,,,border,border,1,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
4,border,border,28,the,the,,,Syrian,1,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0001
5,killing,killing,3,This,This,,,,,,,,cleric,cleric,1,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002
6,cleric,cleric,7,a,a,,,respected,1,,,,,,,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002
7,trouble,trouble,12,,,,,,,,,,,,,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002
8,years,year,14,,,,,,,,,,,,,18,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0002
9,authorities,authority,4,,,,,Iraqi,1,,,,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003
10,cells,cell,13,,,3,3,terrorist,1,,,,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0003
11,officials,official,9,,,2,2,,,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0004
12,level,level,26,a,a,,,high,1,,,,,,,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
13,members,member,27,,,,,,,,,,bombers,bomber,1,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
14,bombers,bomber,31,the,the,,,,,,,,,,,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
15,1960s,1960,35,the,the,,,,,,,,,,,36,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0005
16,head,head,8,the,the,,,,,,,,firm,firm,1,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006
17,investment,investment,11,,,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006
18,firm,firm,12,an,an,,,,,investment,investment,1,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0006
19,market,market,8,the,the,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007
20,bombing,bombing,11,,,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007
21,targets,target,12,,,,,,,bombing,bombing,1,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0007
22,cells,cell,2,The,The,,,,,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008
23,districts,district,12,the,the,,,,,,,,capital,capital,1,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008
24,capital,capital,15,the,the,,,,,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0008
25,announcement,announcement,3,the,the,,,,,,,,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
