,word,count,type
0,federal,26,adj
1,associate,2,adj
2,spiritual,9,adj
3,nervous,5,adj
4,succesfull,1,adj
5,arab,26,adj
6,eastern,7,adj
7,several,56,adj
8,hostile,4,adj
9,sunni,21,adj
10,yound,1,adj
11,newlywed,1,adj
12,enormous,6,adj
13,bad,57,adj
14,high,51,adj
15,miniscule,2,adj
16,concerned,3,adj
17,eventually,1,adj
18,freewheeling,1,adj
19,mathematical,3,adj
20,good,310,adj
21,respectable,2,adj
22,entire,34,adj
23,secular,3,adj
24,israeli,14,adj
25,terrorist,17,adj
26,radical,10,adj
27,palestinian,19,adj
28,major,40,adj
29,local,48,adj
30,best,194,adj
31,young,33,adj
32,muslim,11,adj
33,effective,9,adj
34,wide,5,adj
35,iraqi,37,adj
36,political,41,adj
37,religious,23,adj
38,immediate,10,adj
39,general,16,adj
40,big,61,adj
41,shiite,13,adj
42,american,67,adj
43,unrelated,1,adj
44,first,120,adj
45,most,40,adj
46,profitable,2,adj
47,flawless,2,adj
48,real,58,adj
49,great,281,adj
50,successful,9,adj
51,blessed,1,adj
52,laudatory,1,adj
53,efficient,5,adj
54,simple,19,adj
55,fewest,1,adj
56,low,10,adj
57,other,288,adj
58,likely,3,adj
59,huge,33,adj
60,next,110,adj
61,whole,52,adj
62,swedish,2,adj
63,new,242,adj
64,fun,17,adj
65,international,41,adj
66,western,21,adj
67,long,63,adj
68,top,28,adj
69,cute,7,adj
70,little,81,adj
71,precious,2,adj
72,fair,13,adj
73,armed,7,adj
74,northern,7,adj
75,aged,2,adj
76,substantial,7,adj
77,black,26,adj
78,hottest,1,adj
79,nuclear,34,adj
80,better,48,adj
81,last,143,adj
82,few,130,adj
83,same,132,adj
84,iranian,14,adj
85,covert,3,adj
86,arial,2,adj
87,loose,2,adj
88,slightest,2,adj
89,chemical,9,adj
90,dual,4,adj
91,normal,9,adj
92,mythical,2,adj
93,military,50,adj
94,own,84,adj
95,predictable,2,adj
96,southern,2,adj
97,illegal,4,adj
98,main,37,adj
99,steep,2,adj
100,inaugural,1,adj
101,rambling,1,adj
102,random,2,adj
103,inside,4,adj
104,permanent,7,adj
105,lead,4,adj
106,full,49,adj
107,crucial,3,adj
108,past,25,adj
109,present,7,adj
110,old,62,adj
111,future,10,adj
112,brave,4,adj
113,particular,18,adj
114,small,69,adj
115,possible,26,adj
116,open,17,adj
117,popular,10,adj
118,non-microsoft,1,adj
119,higher,7,adj
120,enlightened,1,adj
121,large,44,adj
122,fascinating,3,adj
123,inexpensive,1,adj
124,more,102,adj
125,private,23,adj
